spring,track,clutchspeed,laptime,maxspeed,minspeed,avgspeed,F_Ride_AVG,R_Ride_AVG,F_Ride_MIN,R_Ride_MIN,F_Ride_MAX,R_Ride_MAX
100,1,8000,4.086,62.28,6.0003,41.052,1.2362,0.50641,0.76137,0.25754,2.0564,1.1689
105,1,8000,4.086,62.267,6.0003,41.048,1.2312,0.51895,0.76943,0.26611,2.0179,1.1736
110,1,8000,4.086,62.255,6.0003,41.046,1.2271,0.53142,0.77707,0.27509,1.983,1.1778
115,1,8000,4.086,62.244,6.0003,41.043,1.2237,0.54374,0.78433,0.28451,1.9514,1.1815
120,1,8000,4.086,62.233,6.0003,41.041,1.2209,0.55588,0.79124,0.29437,1.9225,1.1849
125,1,8000,4.086,62.222,6.0003,41.039,1.2186,0.56781,0.79787,0.30471,1.8959,1.1879
130,1,8000,4.086,62.213,6.0003,41.037,1.2168,0.57952,0.80424,0.31554,1.8715,1.1906
135,1,8000,4.086,62.204,6.0003,41.035,1.2154,0.59099,0.81037,0.32684,1.849,1.1931
140,1,8000,4.089,62.217,6.0003,41.05,1.2141,0.60202,0.81628,0.33834,1.8281,1.1954
145,1,8000,4.089,62.211,6.0003,41.049,1.2134,0.613,0.822,0.3506,1.8087,1.1975
150,1,8000,4.089,62.206,6.0003,41.048,1.213,0.62372,0.82753,0.36337,1.7907,1.1994
155,1,8000,4.089,62.202,6.0003,41.047,1.2129,0.63416,0.83289,0.37664,1.7738,1.2012
160,1,8000,4.089,62.199,6.0003,41.046,1.2131,0.64428,0.83809,0.39041,1.758,1.2029
165,1,8000,4.089,62.197,6.0003,41.046,1.2134,0.65408,0.84132,0.40464,1.7432,1.2044
170,1,8000,4.089,62.196,6.0003,41.045,1.214,0.66355,0.84499,0.41925,1.7293,1.2059
175,1,8000,4.089,62.195,6.0003,41.044,1.2146,0.67267,0.85,0.43416,1.7161,1.2072
180,1,8000,4.089,62.194,6.0003,41.043,1.2153,0.68144,0.85935,0.44919,1.7038,1.2085
185,1,8000,4.089,62.194,6.0003,41.043,1.216,0.68987,0.86902,0.46396,1.6921,1.2097
190,1,8000,4.089,62.193,6.0003,41.042,1.2166,0.69796,0.87859,0.47819,1.6811,1.2108
195,1,8000,4.089,62.192,6.0003,41.041,1.2172,0.70574,0.8877,0.49169,1.6706,1.2118
200,1,8000,4.089,62.191,6.0003,41.041,1.2177,0.71323,0.89608,0.50435,1.6606,1.2128
205,1,8000,4.089,62.189,6.0003,41.04,1.2182,0.72053,0.90371,0.51614,1.6512,1.2138
210,1,8000,4.089,62.188,6.0003,41.039,1.2187,0.72771,0.91073,0.5271,1.6422,1.2146
215,1,8000,4.089,62.187,6.0003,41.039,1.2192,0.73471,0.91728,0.53737,1.6336,1.2155
220,1,8000,4.089,62.186,6.0003,41.038,1.2197,0.74156,0.92346,0.5471,1.6255,1.2163
225,1,8000,4.089,62.183,6.0003,41.037,1.2201,0.74828,0.92936,0.55644,1.6177,1.2171
230,1,8000,4.089,62.182,6.0003,41.036,1.2206,0.75493,0.93498,0.56541,1.6103,1.2178
235,1,8000,4.089,62.181,6.0003,41.036,1.221,0.76169,0.94039,0.5741,1.6032,1.2185
240,1,8000,4.089,62.18,6.0003,41.035,1.2214,0.76861,0.94561,0.58256,1.5964,1.2191
245,1,8000,4.089,62.179,6.0003,41.035,1.2218,0.77556,0.95066,0.59083,1.5899,1.2198
250,1,8000,4.089,62.178,6.0003,41.034,1.2223,0.7824,0.95555,0.59894,1.5837,1.2204
255,1,8000,4.089,62.177,6.0003,41.033,1.2227,0.78907,0.96028,0.60693,1.5777,1.2209
260,1,8000,4.089,62.176,6.0003,41.033,1.2231,0.79557,0.96486,0.61483,1.5719,1.2215
265,1,8000,4.089,62.175,6.0003,41.032,1.2234,0.80189,0.96929,0.62265,1.5664,1.222
