track_num,rh_diff,spring_rate,!laptime,minAeroD,maxAeroD,minAeroLF,maxAeroLF,minAeroLR,maxAeroLR,AXvehicle,AYvehicle,minRideFL,maxRideFL,minRideFR,maxRideFR,minRideRL,maxRideRL,minRideRR,maxRideRR,minRollSrel,maxRollSrel,slipaFL,slipaFR,slipaRL,slipaRR,sliprFL,sliprFR,sliprRL,sliprRR,speed,yawa,yawv,minSteeringSignal,maxSteeringSignal,minSteeringWheelAngle,maxSteeringWheelAngle,minSteerL,maxSteerL,minSteerR,maxSteerR,minYawPath,avgYawPath,maxYawPath,FzFL,FzFR,FzRL,FzRR
1,-0.5,100,4.188,1.8028,151.31,-88.5,-1.2805,-205.16,-2.8456,1.2476,1.22E-06,0.39789,1.3975,0.39787,1.3928,0.0059513,0.62808,-0.0026528,0.62691,-0.010514,-1.20E-05,-0.078851,0.13351,0.26457,-0.047191,0.015528,0.015468,0.046432,0.046459,55.287,0.52209,8.82E-06,-0.00071897,0.018021,-0.00071897,0.018021,-0.00017041,0.0042714,-0.00017042,0.0042716,-0.00069727,0.00038709,0.0015954,193.6,193.61,283.28,281.81
1,-0.5,110,4.167,1.8045,160.21,-88.876,-1.2891,-216.39,-2.8643,1.2476,1.81E-06,0.40395,1.3398,0.40394,1.3352,0.0048814,0.6476,-0.0024181,0.64653,-0.0092576,-1.21E-05,-0.079071,0.12685,0.26432,-0.039588,0.015518,0.015455,0.046494,0.046523,56.899,0.71763,7.56E-06,-0.00066045,0.016899,-0.00066045,0.016899,-0.00015654,0.0040053,-0.00015655,0.0040054,-0.00074235,0.00034665,0.0014486,193.78,193.78,286.91,285.51
1,-0.5,120,4.149,1.8059,167.67,-89.259,-1.2973,-226.28,-2.8771,1.2476,3.22E-06,0.4097,1.2919,0.40969,1.2875,0.0033361,0.66142,-0.0016123,0.66043,-0.0082212,-1.22E-05,-0.079452,0.12178,0.26421,-0.034186,0.01551,0.015444,0.046544,0.046574,58.206,0.86394,6.36E-06,-0.00060781,0.017746,-0.00060781,0.017746,-0.00014406,0.0042062,-0.00014407,0.0042064,-0.00083774,0.00030131,0.0015408,193.96,193.96,290.65,289.32
1,-0.5,130,4.14,1.8068,172.48,-89.745,-1.3051,-233.49,-2.8915,1.2476,4.19E-06,0.41507,1.2516,0.41505,1.2472,-0.0078597,0.67179,-0.014373,0.67087,-0.0077086,-1.22E-05,-0.079582,0.11782,0.26752,-0.030122,0.015503,0.015435,0.046585,0.046615,59.057,0.75563,3.16E-06,-0.00056093,0.018641,-0.00056093,0.018641,-0.00013295,0.0044182,-0.00013296,0.0044184,-0.00085551,0.0002324,0.0015467,194.21,194.22,295.12,293.79
1,-0.5,140,4.134,1.8074,176.96,-90.188,-1.3126,-240.47,-2.8994,1.2477,3.71E-06,0.42026,1.2171,0.42025,1.2129,-0.030337,0.67989,-0.036554,0.67903,-0.0070623,-1.22E-05,-0.079754,0.11466,0.27474,-0.026944,0.015497,0.015428,0.046618,0.046649,59.831,0.87272,8.29E-07,-0.00051923,0.019403,-0.00051923,0.019403,-0.00012307,0.0045989,-0.00012307,0.0045991,-0.00064659,0.00017054,0.0012888,194.44,194.44,299.23,297.94
1,-0.5,150,4.131,1.8079,180.56,-90.628,-1.3216,-246.27,-2.9026,1.2477,1.29E-06,0.42525,1.1872,0.42524,1.1832,-0.044319,0.6864,-0.04984,0.6856,-0.0064889,-1.24E-05,-0.079972,0.1121,0.27897,-0.024384,0.015492,0.015421,0.046645,0.046677,60.467,0.98669,1.37E-06,-0.00048204,0.020041,-0.00048204,0.020041,-0.00011425,0.0047501,-0.00011426,0.0047503,-0.00013743,0.00012165,0.00078862,194.66,194.67,303.43,302.18
1,-0.5,160,4.131,1.8082,182.92,-91.013,-1.329,-250.95,-2.9045,1.2477,2.10E-06,0.43467,1.1612,0.43465,1.1573,-0.064223,0.69176,-0.069315,0.691,-0.005996,-1.87E-05,-0.080211,0.10998,0.28527,-0.022277,0.015487,0.015416,0.046668,0.046701,60.883,0.89622,-1.76E-06,-0.00044874,0.020565,-0.00044874,0.020565,-0.00010636,0.0048743,-0.00010636,0.0048745,-0.0001708,7.13E-05,0.0006613,194.86,194.87,307.7,306.49
1,-0.5,170,4.131,1.8084,183.45,-92.128,-1.3402,-253.93,-2.9061,1.2477,2.87E-06,0.45087,1.1382,0.45085,1.1344,0.039248,0.69624,0.034355,0.69552,-0.0054237,-1.88E-05,-0.081291,0.1082,0.24872,-0.020509,0.015483,0.015411,0.046688,0.04672,60.952,1.0096,-1.27E-06,-0.0004188,0.020988,-0.0004188,0.020988,-9.93E-05,0.0049746,-9.93E-05,0.0049748,-0.00021832,2.13E-05,0.00058055,195.03,195.03,310.7,309.56
1,-0.5,180,4.131,1.8086,183.84,-95.747,-1.3496,-257.12,-2.9073,1.2477,3.62E-06,0.46511,1.1178,0.46509,1.1142,0.11783,0.70005,0.1133,0.69937,-0.0050518,-1.89E-05,-0.082202,0.1067,0.22045,-0.019005,0.01548,0.015407,0.046704,0.046737,60.951,1.1574,-7.54E-07,-0.00039178,0.021323,-0.00039178,0.021323,-9.29E-05,0.0050539,-9.29E-05,0.0050542,-0.00026207,-2.72E-05,0.00051087,195.23,195.23,312.31,311.21
1,-0.5,190,4.131,1.8087,184.09,-99.349,-1.361,-259.5,-2.9083,1.2477,4.34E-06,0.47769,1.0996,0.47768,1.0961,0.17255,0.70334,0.16831,0.70269,-0.0047188,-1.88E-05,-0.082799,0.10544,0.20046,-0.017709,0.015477,0.015404,0.046718,0.046752,60.95,1.1593,-2.22E-07,-0.00036728,0.021605,-0.00036728,0.021605,-8.71E-05,0.0051208,-8.71E-05,0.005121,-0.00030269,-7.16E-05,0.0004542,195.47,195.47,313.52,312.45
